id,Player,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,Oreb,DR,TR,AST,TOV,BS,EFF,OE,TS,eFG,PPP
49,ジョシュ・ダンカン,13.5357142857143,4.625,8.48214285714286,0.767857142857143,1.96428571428571,3.51785714285714,4.41071428571429,1.91071428571429,5.16071428571429,7.07142857142857,1.48214285714286,1.35714285714286,0.285714285714286,18.0535714285714,1.59582542694497,64.9328399122807,0.590526315789474,1.14904195973805
50,ジョシュ・ハレルソン,12.6296296296296,5.05555555555556,11.0740740740741,1.25925925925926,3.55555555555556,1.25925925925926,1.7962962962963,2.48148148148148,6.98148148148148,9.46296296296296,3.01851851851852,1.66666666666667,0.981481481481482,18.3333333333333,1.17852161785216,53.2246987575701,0.513377926421405,0.933377128154596
51,ジョシュ・ホーキンソン,15.8085106382979,5.21276595744681,10.531914893617,1.80851063829787,4.70212765957447,3.57446808510638,4.29787234042553,1.91489361702128,6.08510638297872,8,2.27659574468085,1.29787234042553,0.617021276595745,21.8723404255319,1.48342059336824,63.6260875522368,0.580808080808081,1.15215233841955
52,ジョナサン・オクテウス,12.5272727272727,4.63636363636364,10.7818181818182,1.25454545454545,3.72727272727273,2,2.89090909090909,1.09090909090909,2.41818181818182,3.50909090909091,1.89090909090909,1.21818181818182,0.254545454545454,10.9636363636364,1.12642045454545,51.9639193918185,0.488195615514334,0.9438873362924
53,ジョーダン・テイラー,13.6734693877551,4.69387755102041,11.3673469387755,1.20408163265306,4.20408163265306,3.08163265306122,3.97959183673469,0.63265306122449,3.10204081632653,3.73469387755102,4.69387755102041,2.08163265306122,0.081632653061225,15.7755102040816,1.04895104895105,52.1157436216553,0.46588868940754,0.899570354457572
54,ジョーダン・ハミルトン,20.8518518518518,7.55555555555556,17.2222222222222,2.68518518518519,8.18518518518519,3.05555555555556,4.51851851851852,1.22222222222222,7.11111111111111,8.33333333333333,6.01851851851852,2.94444444444444,0.277777777777778,23.8518518518519,1.07640949554896,54.2723837433485,0.516666666666667,0.94118827108897
55,ジョーダン・ヒース,10.6818181818182,4.09090909090909,7.54545454545455,1.04545454545455,3.04545454545455,1.45454545454545,2.72727272727273,1.56818181818182,5.43181818181818,7,1.04545454545455,0.818181818181818,1.43181818181818,15.2272727272727,1.49565217391304,61.0706860706861,0.61144578313253,1.11692015209125
56,ジョーダン・フェイゾン,21,8.75,14.75,0.25,2,3.25,5.25,2.25,6,8.25,2,2.25,1.5,23.5,1.37313432835821,61.5474794841735,0.601694915254237,1.08751941998964
57,ジージオ・ベイン,4.5,2.25,3.25,0,0,0,0.5,0.75,3.5,4.25,0.5,1.25,0.75,4,1.17647058823529,64.8414985590778,0.692307692307692,0.953389830508474
58,ステヴァン・イェロヴァツ,18.8461538461538,6,13.8076923076923,1.90384615384615,5.28846153846154,4.94230769230769,5.51923076923077,2.13461538461538,6.82692307692308,8.96153846153846,1.88461538461538,1.92307692307692,0.115384615384615,22.0192307692308,1.33913043478261,58.0376178518975,0.503481894150418,1.03782776295167
59,セドリック・シモンズ,4.73684210526316,2.10526315789474,2.94736842105263,0,0,0.526315789473684,1.52631578947368,1.21052631578947,2.63157894736842,3.84210526315789,0.736842105263158,0.526315789473684,1.15789473684211,7.73684210526316,1.82456140350877,65.4450261780105,0.714285714285714,1.14271203656679
60,セバスチャン・サイズ,17.0877192982456,6.12280701754386,11.6140350877193,0.578947368421053,1.85964912280702,4.26315789473684,5.40350877192982,3.80701754385965,7.89473684210526,11.7017543859649,1.24561403508772,1.68421052631579,1.01754385964912,24.719298245614,1.70751633986928,61.0642993279165,0.552114803625378,1.09007073148894
61,ダバンテ・ガードナー,19.5454545454545,7.52727272727273,13.5090909090909,1,3.25454545454545,3.49090909090909,4.14545454545455,1.18181818181818,6.25454545454546,7.43636363636364,4.89090909090909,1.8,0.4,26.0545454545455,1.2848948374761,63.7361855523408,0.59421265141319,1.14080142626709
62,チャールズ・ジャクソン,15.5666666666667,6.31666666666667,9.58333333333333,0,0.016666666666667,2.93333333333333,5.16666666666667,3.63333333333333,5.18333333333333,8.81666666666667,1.56666666666667,2.23333333333333,0.566666666666667,21.2,1.75726495726496,65.6452066348046,0.659130434782609,1.10480246037379
